rating,title,text,helpful_vote,verified_purchase
3,(Now Discontinued) Exceptional Android tablet in many ways - but beware of app incompatabilities - Android on Intel issue.,"Summary:  Discontinued model, won’t run all Android apps, no more security updates from Dell – but still has a number of fine qualities.<br /><br />Pros:<br />• Display = Spectacularly gorgeous, 2560 x 1600 OLED<br />• Build quality = High<br />• Networking performance = Superb speed, short range (stay near your wireless access point)<br />• Streaming experience = Excellent<br />• Heat dissipation = What heat? This runs cool<br />• Battery life = Long and efficient, once you tune settings and remove unwanted apps<br />• Ease of use = Ultra light weight, beautiful edge-to-edge display (tip:  I combine mine with a grippy third-party holder for ease of handling)<br /><br />Cons:<br />• Chip architecture runs most, but not all, Android apps.  (Only runs Android apps supported for Intel - but the prominent chip for Android apps is ARM, instead.)  If your favorite app is not supported, it’s probably going to be a deal-breaker for you.<br />• App compatibility can change as publishers add/remove Intel support from their new releases of Android apps.  (First-hand experience with this issue.) Do your own research – then live with (potentially changing) results.<br />• Discontinued model – no new Android versions, no more system security updates – though you can still update individual apps with newer releases, uninstall, and replace apps.  Dell discontinued its entire mobile product line in June 2016.<br /><br />Suggested use:  A fine secondary Android tablet for your home or travel use - if your apps are supported.  Won’t support apps written exclusively for dominant chip architecture for Android (ARM) - and as a discontinued series, there are no more system or security updates pushed by Dell.  Since future use is limited, I’d watch for a low price, before buying.<br /><br />My review here had a long history of changes since first authored in Feb 2015.  As a service to buyers, I’m paring it down to above summary only now, but you’ll detect in the comments history that it raised lots of useful discussion and even some controversy.  My rating for this model has changed radically in response to altered app compatibility and Dell's eventual discontinuance of its mobile line.  When my own favorite app received a mandatory publisher update which could no longer be run on an Intel chip, I ultimately bought a different, ARM-based Android tablet to replace this tablet, well before end of useful life should have occurred for this Dell model, so I felt genuinely burned as a consumer and reflected that into my review history as well.<br /><br />Bottom line:  If you know and accept the limitations, this is still an amazing work of engineering.  Assuming you get a good unit, and at a low price, you’ll get some nice, if limited, use from it.  It’s still my own favorite tablet for travel use, for instance.",134,False
5,The product is well made and intelligently designed with space for double size holders on the ...,"The product is well made and intelligently designed with space for double size holders on the bottom, and rubber feet on the bottom to protect against scratching wood surfaces. I am very happy with this product.",0,True
5,Engineered for AMD and Intel,Crucial Ballistix 3200 MHz DDR4 DRAM Desktop Gaming Memory Kit 16GB (8GBx2) CL16 BL2K8G32C16U4B (Black)<br /><br />The new Crucial Ballistix Gaming kit is awesome! The design is super clean and without RGB. It is super easy to overclock using XMP 2.0. Micron states the Ballistix Gaming kit has been engineered for AMD and Intel. I installed it on my Strix B450 motherboard with a Ryzen 5 2600 CPU. I set the XMP and it automatically went to 3200. I didn't mess with the stock timings because they are already pretty good. 2nd gen Ryzen CPU's like good memory and I was able to push my 2600 a little harder from 4Ghz to 4.225Ghz stable. I know it's not a huge increase but it just shows how good the die quality is. I'm sure tweaking the timings could get me a little more but I'm happy were my PC is at right now.,0,False
5,Great ultra-low-profile CPU cooler for 65w Intel CPUs.,"Great ultra-low-profile CPU cooler for 65w Intel CPUs.  I do recommend getting the thicker version of the included fan however for extra cooling capability if it will fit.  The included slim fan is still plenty good, just a good bit louder as it runs faster to do the same airflow.",0,True
5,Excellent cooling for my Intel Core i7 8700K,"Excellent cooling for my Intel Core i7 8700K. Supplied fans are very quiet, no need to change them even though I had Noctua fans on hand. It also has its own fan controller, only one fan header needed on the motherboard. I have this installed in a Fractal Mini C case, top mounted, works extremely well.",4,True
5,Intel NUC User for Years,"I have been purchasing and using Intel NUCs for awhile now, and have noticed a decline in the quality and reliability in recent years.  The price was right on this and I have given it a try.  Drivers can be a little bit of extra effort to get installed, but not hard.  After a number of months of use, I have been very happy with the computer and have no complaints.  I will likely look at this brand again for my next computer purchase.",0,True
5,Worked great with my x99 board and an Intel SSD,"I got a good deal on a 2tb 2.5"" Intel NVMe SSD that uses a U.2 connector.  My Gigabyte X99 mobo has a couple U.2 ports.  These ports on the board are the mini SAS style connectors, and the SSD has the usual drive connector.  Power makes it to this connector via a tail to add SATA power.  The rest was simple plug and play.  The drive I bought was cheaper than any M.2 drives, includes a built in heat sink, and this cable let me use an otherwise unneeded port in my mobo.<br /><br />Highly recommended if you need a consumer mobo to U.2 drive cable.",2,True
4,not too sure how this compares to other intel quad-cores ...,"not too sure how this compares to other intel quad-cores, but mine seems to hold up well and plays every game that I want to!",0,True
5,"Worked out of the box, intelligent set of function keys, all in an attractive compact package.","Worked right out of the box on an iMac I am using for music, mixing, etc.  Looks good (matches the Mac), key feel is good, and mouse pad all work in a compact package.  WiFi rather than Bluetooth (a real plus for me) and the function keys work well with Spotify and Band-in-a-Box.",0,True
5,Works In TOSHIBA Qosmio X505-Q888 Intel Core i7 740QM,"I purchased this for my TOSHIBA Qosmio X505-Q888 Intel Core i7 740QM, zero issues installed it turned computer on booted up first try. Haven't had any random reboot's or blue screens. Highly recommend! Now I just need to put this in our 2012 macbook pro :)",0,False
4,Very good but too much bass reduces intelligibility,"Better than other cheaper headsets I tried, but still a little more difficult to hear compared to my iPhone speaker. The reason is there is too much bass and this clouds up the sound reducing  intelligibility. I wish there were a tone control, then it would be perfect.",0,True
4,Good replacement for stock Intel fan,"This product is nothing fancy.  If your CPU was doing fine with the stock cooling fan, but the fan needs to be replaced, then this is a solid replacement that appears to be sourced from the OEM.  The overall product has a flimsy plastic pin mounting system, which broke on my original and it's why I needed to get this, but for what it is, this matched the description.",0,True
5,Success on 2017 iMac 5K 4.2 GHz Intel Core i7,"Like most people I ordered the 8GB iMac and self upgraded the ram with this.  I only did 16GB for a total of 24GB, if you are considering upgrading just go the full 32GB upgrade.  I will most likely purchase the 32GB kit down the road.  Install is super easy read some of the other reviews for proper placement if you get a black screen.",0,True
3,Appears less effective than the stock intel cooler.,"Up front, I haven't used this at all after installing it.  I bought it to replace the stock intel cooler that came with my 6th gen i5.  The plastic mounts on the stock cooler broke at some point so the cooler was being held firmly to the cpu.  Oddly there didn't seem to be any problems with the pc, but I couldn't in good conscience allow the cpu to be paired with a broken cooler, so I bought this as a cheap replacement.<br />  The Thermaltake Gravity i2 mount uses metal mounts that seem to hold the cooler firmly in place.  The heatsink fins are less dense than the stock unit and the contact patch of the heatsink isn't large enough to cover the entire cpu.  I honestly don't know if this works well because I haven't needed to use the PC since installing the new cooler...",1,True
1,Not working with Intel DG45ID MB,"The first Set of TWIN2X4096-6400C5 modules died after a few days and the second set is very unstable on my Intel DG45ID motherboard.<br /><br />I get the ""Dreaded Blue Screen"" about 2 times a day (or more). I ran MEMTEST86+ and did not have to wait very long for errors. Every pass through the test failed!<br /><br />On Corsair's forum, the RAM GUY seems to think these are 1.9 volt modules and the intel motherboard selects 1.8v by default.<br /><br />I am still waiting for a resolution from Corsair!",2,True
5,Professional Intel SD SDHC 8GB (8 Gigabyte) Memory Card for Sony Cybershot DSC-WX5 DSC-H70 DSC-T110 DSC-W570 DSC-W560 DSC-W530 D,"Amazing 8Gig Memory Stick.  One will be all you need.  It has approximately 1,700 pictures, can you imagine?  I'm totally happy and at $9.99, you would pay even the lowest on Ebay $14.99 and lets not talk about what Sony.com sticks would cost.  Just incredible.  You might want a spare 4Gig, just for backup.  So far so good and not to long to wait.  I was quite disappointed that my camera didn't have a stick.  For the price, you would think a Sony Camera would have one ;-?  Anyway, Great Stick, Good Company, SO CAL or Southern California Trading Company, and Amazon.com to buy all you need reasonably in one place !",7,True
3,"Acer Predator Triton 500 SE Laptop 12th Gen Intel i9 GeForce RTX 3080 Ti 16"" 32GB LPDDR5 1TB SSD.","Pros: Fast business Laptop and great gaming PC. Plenty of memory and HD space. Great graphics because of the GeForce board with its own memory. Good sound card if you use a quality headset.<br /><br />Cons: Who thought ports on the sides was smart? Really, really a pain in the backside. I was able to work out the heat by getting a good fan system to lay it on. But you can't fix stupid even with duct tape when it comes to ports on the sides. Ever try to use wireless when the dongs have to plug in right next to your wireless mouse of keep you from sitting the left side of the computer next to the arm of your chair. Not to mention the large power cord sticking out of the left side. So, if you don't mind the ports on the sides, you might want it. Had I realized the power cord, all ports on the left and right side, overheating problem and speakers are less than I hoped so I would have never bought it.<br /><br />Update February23, 2023. You can fix the heat issue with the internal Laptop fans that are set inside,<br /><br />PredatorSense https://www.acer.com/us-en/preedator/predator<br /><br />under the Windows pane Icon on Taskbar. This software should have been mentioned and the fans should have been turned on. On my laptop at least under the Fan Control I found they weren't even on. As soon as I turned them on, I saw not only three readouts instead of zero, but I could immediately tell the difference in the heat coming out of the vents. This software has several features to control display, keyboard, and other controls and ighting.",1,False
5,An very intelligent connection!,This is perfect! I have Amazon Fire TV and a Blu-ray all hooked up to my cable connections and would have to unplug one to use the other.  Not anymore. And this detects which one is &#34;on&#34; in order to give the correct one power.  It's a no brainer! I love it!,0,True
5,Intel 7260AC,"Installed in Dell 7737 Inspiron laptop. The absolute worst part of the job was taking the entire laptop apart to get to the wireless card!<br />I would like to have words with whoever designed it that way. Took me an hour to take it apart and put it together again.<br />Anyway, on to the card itself.<br /> I downloaded the current drivers and and Intel Proset software with Bluetooth at version 17.1.1501.01 from the Intel site.<br />I was very impressed with the one button install of everything included in the combination download package.<br />It used to be a real pain to setup wireless cards, this one was the easiest to get up and running ever.<br />Just one click on the download package, and it installs everything for you, drivers, bluetooth, it's very easy.<br />The card was immediately usable in Windows 8.1 after the install  package was done installing. It connected to my Netgear<br />NIghthawk AC router at 867Mbps on the 5Ghz band, with NO change off the default settings,<br /> it just worked right out of the box, that's refreshing for sure!<br />I did end up changing one setting that was not set by default, enable WMM in the adapter settings page.<br />My Lg G3 phone connects at 450Mbps on the 5 Ghz band. My legacy devices, dual band wireless N, all connect at 300Mbps.<br />This is my first AC device, and I am very pleased with the performance and purchase.<br />Highly Recommended!",0,True
5,Directions suck but you can find ones for amd or Intel ...,Fixed my overheating issues. Directions suck but you can find ones for amd or Intel install on YouTube.,0,True
5,Intel NUC Mini PC 12th Gen Core i5-1240P 32GB DDR4 RAM 512GB NVm.2 SSD,"Wow!  Where to begin with this thing?  For some background, I'm a PC enthusiast and regularly build my own rigs.  I hadn't seen these Intel NUC PCs before so I jumped on the chance to try one out.<br /><br />Form Factor:<br /><br />There's so much to like here!  First off, the form factor is TINY.  I included a picture; this basically sits in the palm of my hand, and I don't have very big hands.  From a power perspective, this means you're going to get an external power brick with the device, which probably adds 25% more to the size of the package all-in, but this can be stored away under your desk.<br /><br />Hardware:<br /><br />From the headline, you can see you get a Core i5, 32GB of RAM, and a 512 GB SSD.<br /><br />This has Bluetooth and WiFi built in (there's a very small antenna you screw in to enhance reception.), so no need for a CAT3 cable (though it has a port for wired network connections).  The WiFi performance was excellent; I was able to reach the full 400Mbps that internet plan allows for.<br /><br />In addition to the power cord, you get what appears to be a 2"" HDMI cable.  You also get a mounting plate which you can use to mount this thing in an array of other NUC PCs.  That's it - you need to supply all other peripherals, such as the keyboard and mouse.<br /><br />Since these are kit computers in a sense, I opened one up to see inside.  From the included picture you can see everything that can be swapped, specifically the new series of NVm.2 style SSDs.  I didn't realize it at first, but there's an entire tray at the bottom for a SATA SSD, and there's actually a removable slot that allows you to run a SATA cord from an external device IN to this device, so you don't actually physically need to put the drive in.  Very clean and straightforward insides here, they didn't try to cram everything in so there's airflow.<br /><br />Performance:<br /><br />This isn't going to be a performance review - I don't have the testing equipment and such to run any meaningful side-by-side comparisons.<br /><br />However, the Intel iRISx graphics card is decent - to give you a sense of what it has, the Nvidia RTX 3080 with 8GB I have in my gaming rig has about 3x the double precision processing power (among other things).  But that card cost more than this entire computer.<br /><br />From a gaming perspective the performance here is what I would consider to be ""nominal.""  I downloaded the Steam client on this and benchmarked Steel Division 2, which is the sort of game where you can really crank the settings depending on your hardware.  Again on my 3080, I can run the highest settings in every category on an ultrawide 49"" 1440p monitor.  With this PC, I had to run almost all the lowest settings, with several off, to play the same game at 1080p - but it was still completely playable.<br /><br />So if you're looking for a gaming rig, you're probably better off getting an XBox or a PS5.  But those two aren't computers, like this is.<br /><br />Other:<br /><br />Sound-wise, this is quiet but not silent.  My current gaming build - a NZXT 510 Elite with 4 fans and a PSU are actually quieter, but this is just a low-level whir, similar to what you'd get out of a laptop (except with better internal airflow).<br /><br />This PC does generate heat - even with good cool airflow nearby and the fans whirring, you can feel the ports in the back getting hot (indicative of internal temperatures).<br /><br />Overall:<br /><br />I continue to be amazed by the offerings out there these days.  When I was younger, you had to have a huge tower to get this level of performance.  This is just like a big Alexa puck.  The form factor gives it all sorts of use potential beyond a simple desktop, while still allowing for plenty of expansion.<br /><br />From a price perspective, you really end up getting a lot (right now this item is listed at $780).  Considering you're getting an i5, plus 32GB of RAM and a 512GB SSD, the only thing separating this from a higher end gaming rig is a discrete graphics card.  You also get a paid-up version of Windows 11.<br /><br />Very happy overall I was able to snag this product - I hope you find this review to be helpful!",1,False
4,Be very cautious with Intel's warranty,"This is a great processor when it works, it does run hot, but draws lower power than a non S processor. That being said, because it is an S processor, it is taken from batches that are lower quality than say a K processor, and will likely die shortly after the warranty expires. This is exactly what happened with mine, and Intel doesn't seem like a company that will work with customers a single day past that expiration. Mine was warrantied up to March of 2017, and it failed in June 2017. $300 is a lot to pay for hardware that can't live past 3 years.<br /><br />Update: They were reluctant at first to honor the warranty as it was a few months past...but after explaining the situation they did replace the broken CPU and now my PC works again. I'm very grateful that they did. I changed my rating again because they did that for me, usually big companies like this do not do it, I was very surprised. I will stay with intel for sure.",2,True
5,"It's like using an Apple product -- intuitive, intelligent design","It's like using an Apple product -- intuitive, intelligent design and easy to use.  What more needs to be said.",0,False
5,"Finally, more than 4 cores in an Intel chip ...","Finally, more than 4 cores in an Intel chip, thanks AMD! This thing is a powerhouse. I'm still trying to find something to give it any sort of a workout.",0,True
